congressman_id,name,party,party_id,term
74570,JUTAHY JUNIOR,PSDB,36835,55
178918,KAIO MANIÇOBA,SOLIDARIEDADE,37904,55
160659,KEIKO OTA,PSB,36832,55
151208,LAERCIO OLIVEIRA,PP,37903,55
141478,LAERTE BESSA,PR,36814,55
178894,LAUDIVIO CARVALHO,PODE,36896,55
74856,LAURA CARNEIRO,DEM,36769,55
141480,LÁZARO BOTELHO,PP,37903,55
178832,LEANDRE,PV,36851,55
141562,LELO COIMBRA,MDB,36899,55
178825,LEO DE BRITO,PT,36844,55
74156,LEONARDO MONTEIRO,PT,36844,55
74254,LEONARDO PICCIANI,MDB,36899,55
141482,LEONARDO QUINTÃO,MDB,36899,55
74299,LEÔNIDAS CRISTINO,PDT,36786,55
160663,LEOPOLDO MEYER,PSB,36832,55
74585,LINCOLN PORTELA,PR,36814,55
141483,LINDOMAR GARÇON,PRB,36815,55
74277,LOBBE NETO,PSDB,36835,55
196358,LOURIVAL GOMES,PODE,36896,55
81366,LUANA COSTA,PSC,36833,55
178879,LUCAS VERGILIO,SOLIDARIEDADE,37904,55
160628,LUCIANA SANTOS,PCdoB,36779,55
74478,LUCIANO BIVAR,PSL,36837,55
178931,LUCIANO DUCCI,PSB,36832,55
178954,LUCIO MOSQUINI,MDB,36899,55
141484,LÚCIO VALE,PR,36814,55
94931,LUCIO VIEIRA LIMA,MDB,36899,55
73483,LUIS CARLOS HEINZE,PP,37903,55
160510,LUIS TIBÉ,AVANTE,36898,55
160547,LUIZ ARGÔLO,SOLIDARIEDADE,37904,55
141485,LUIZ CARLOS BUSATO,PTB,36845,55
73778,LUIZ CARLOS HAULY,PSDB,36835,55
178802,LUIZ CARLOS RAMOS,PR,36814,55
178955,LUIZ CLÁUDIO,PR,36814,55
74041,LUIZ COUTO,PT,36844,55
141487,LUIZ FERNANDO FARIA,PP,37903,55
178982,LUIZ LAURO FILHO,PSB,36832,55
162332,LUIZ NISHIMORI,PR,36814,55
74688,LUIZ SÉRGIO,PT,36844,55
74784,LUIZA ERUNDINA,PSOL,36839,55
178866,LUIZIANNE LINS,PT,36844,55
198198,LUZIA FERREIRA,PPS,36813,55
178867,MACEDO,PP,37903,55
166402,MAGDA MOFATTO,PR,36814,55
151965,MAIA FILHO,PP,37903,55
178826,MAJOR OLIMPIO,PSL,36837,55
160633,MANDETTA,DEM,36769,55
141490,MANOEL JUNIOR,MDB,36899,55
160565,MARA GABRILLI,PSDB,36835,55
74124,MARÇAL FILHO,MDB,36899,55
160660,MARCELO AGUIAR,DEM,36769,55
179000,MARCELO ÁLVARO ANTÔNIO,PSL,36837,55
146788,MARCELO ARO,PHS,36793,55
178932,MARCELO BELINATI,PP,37903,55
74460,MARCELO CASTRO,MDB,36899,55
195826,MARCELO DELAROLI,PR,36814,55
76287,MARCELO MATOS,PSD,36834,55
74278,MARCELO ORTIZ,PODE,36896,55
118594,MARCELO SQUASSONI,PRB,36815,55
178983,MARCIO ALVINO,PR,36814,55
179001,MÁRCIO BIOLCHI,MDB,36899,55
150418,MÁRCIO MARINHO,PRB,36815,55
178899,MARCIO MONTEIRO,S.PART.,36852,55
178942,MARCO ANTÔNIO CABRAL,MDB,36899,55
133373,MARCO MAIA,PT,36844,55
160536,MARCO TEBALDI,PSDB,36835,55
160535,MARCON,PT,36844,55
74470,MARCONDES GADELHA,PSC,36833,55
178880,MARCOS ABRÃO,PPS,36813,55
74634,MARCOS MEDRADO,PODE,36896,55
141500,MARCOS MONTES,PSD,36834,55
178852,MARCOS REATEGUI,PSD,36834,55
167722,MARCOS ROGÉRIO,DEM,36769,55
178850,MARCOS ROTTA,MDB,36899,55
178943,MARCOS SOARES,DEM,36769,55
159238,MARCUS PESTANA,PSDB,36835,55
74235,MARCUS VICENTE,PP,37903,55
205297,MARFIZA GALVÃO,PSD,36834,55
171619,MARGARIDA SALOMÃO,PT,36844,55
74398,MARIA DO ROSÁRIO,PT,36844,55
64960,MARIA HELENA,MDB,36899,55
178956,MARIANA CARVALHO,PSDB,36835,55
178919,MARINALDO ROSENDO,PP,37903,55
74177,MARINHA RAUPP,MDB,36899,55
74158,MÁRIO HERINGER,PDT,36786,55
178858,MÁRIO NEGROMONTE JR.,PP,37903,55
181315,MARQUINHO MENDES,MDB,36899,55
178843,MARX BELTRÃO,PSD,36834,55
74050,MAURÍCIO QUINTELLA LESSA,PR,36814,55
73588,MAURO BENEVIDES,MDB,36899,55
74749,MAURO LOPES,MDB,36899,55
141507,MAURO MARIANI,MDB,36899,55
124411,MAURO PEREIRA,MDB,36899,55
178827,MAX FILHO,PSDB,36835,55
74428,MENDONÇA FILHO,DEM,36769,55
74056,MENDONÇA PRADO,DEM,36769,55
188097,MERLONG SOLANO,PT,36844,55
141509,MIGUEL CORRÊA,PT,36844,55
178984,MIGUEL HADDAD,PSDB,36835,55
178985,MIGUEL LOMBARDI,PR,36814,55
74787,MILTON MONTI,PR,36814,55
74862,MIRO TEIXEIRA,REDE,36886,55
178895,MISAEL VARELLA,PSD,36834,55
160561,MISSIONÁRIO JOSÉ OLIMPIO,DEM,36769,55
178859,MOEMA GRAMACHO,PT,36844,55
195278,MOISÉS DINIZ,PCdoB,36779,55
74457,MORONI TORGAN,DEM,36769,55
178997,MOSES RODRIGUES,MDB,36899,55
160567,NELSON MARCHEZAN JUNIOR,PSDB,36835,55
73553,NELSON MARQUEZELLI,PTB,36845,55
73781,NELSON MEURER,PP,37903,55
193069,NELSON NAHIM,PSD,36834,55
160566,NELSON PADOVANI,PSDB,36835,55
74571,NELSON PELLEGRINO,PT,36844,55
178896,NEWTON CARDOSO JR,MDB,36899,55
74751,NILMÁRIO MIRANDA,PT,36844,55
166401,NILSON LEITÃO,PSDB,36835,55
74352,NILSON PINTO,PSDB,36835,55
178986,NILTO TATTO,PT,36844,55
74359,NILTON CAPIXABA,PTB,36845,55
194260,NIVALDO ALBUQUERQUE,PTB,36845,55
66179,NORMA AYUB,DEM,36769,55
74159,ODAIR CUNHA,PT,36844,55
74752,ODELMO LEÃO,PP,37903,55
178868,ODORICO MONTEIRO,PSB,36832,55
74399,ONYX LORENZONI,DEM,36769,55
178987,ORLANDO SILVA,PCdoB,36779,55
180545,OSMAR BERTOLDI,DEM,36769,55
73463,OSMAR SERRAGLIO,PP,37903,55
73692,OSMAR TERRA,MDB,36899,55
202063,OSVALDO MAFRA,SOLIDARIEDADE,37904,55
141515,OTAVIO LEITE,PSDB,36835,55
160556,PADRE JOÃO,PT,36844,55
74319,PAES LANDIM,PTB,36845,55
160642,PASTOR EURICO,PATRI,37900,55
193982,PASTOR LUCIANO BRAGA,PRB,36815,55
74160,PATRUS ANANIAS,PT,36844,55
74095,PAUDERNEY AVELINO,DEM,36769,55
171617,PAULÃO,PT,36844,55
141516,PAULO ABI-ACKEL,PSDB,36835,55
178860,PAULO AZI,DEM,36769,55
74017,PAULO FEIJÓ,PR,36814,55
160517,PAULO FOLETTO,PSB,36832,55
160558,PAULO FREIRE COSTA,PR,36814,55
141517,PAULO HENRIQUE LUSTOSA,PP,37903,55
74574,PAULO MAGALHÃES,PSD,36834,55
132056,PAULO MALUF,PP,37903,55
193726,PAULO MARTINS,PSDB,36835,55
141518,PAULO PEREIRA DA SILVA,SOLIDARIEDADE,37904,55
74400,PAULO PIMENTA,PT,36844,55
141488,PAULO TEIXEIRA,PT,36844,55
74812,PEDRO CHAVES,MDB,36899,55
178912,PEDRO CUNHA LIMA,PSDB,36835,55
74449,PEDRO FERNANDES,PTB,36845,55
122158,PEDRO PAULO,DEM,36769,55
160604,PEDRO UCZAI,PT,36844,55
178844,PEDRO VILELA,PSDB,36835,55
80920,PENNA,PV,36851,55
141445,PEPE VARGAS,PT,36844,55
162174,POLICARPO,PT,36844,55
195997,POLLYANA GAMA,PPS,36813,55
73486,POMPEO DE MATTOS,PDT,36786,55
160601,PR. MARCO FELICIANO,PODE,36896,55
200153,PROF. GEDEÃO AMORIM,MDB,36899,55
204011,PROFESSOR PACCO,PODE,36896,55
170673,PROFESSOR SÉRGIO DE OLIVEIRA,PSD,36834,55
148134,PROFESSOR VICTÓRIO GALLI,PSL,36837,55
160639,PROFESSORA DORINHA SEABRA REZENDE,DEM,36769,55
160641,PROFESSORA MARCIVANIA,PCdoB,36779,55
178951,RAFAEL MOTTA,PSB,36832,55
74216,RAIMUNDO GOMES DE MATOS,PSDB,36835,55
178998,RAQUEL MUNIZ,PSD,36834,55
74048,RAUL JUNGMANN,PPS,36813,55
74161,REGINALDO LOPES,PT,36844,55
73786,REINHOLD STEPHANES,PSD,36834,55
178925,REJANE DIAS,PT,36844,55
178960,REMÍDIO MONAI,PR,36814,55
178989,RENATA ABREU,PODE,36896,55
171620,RENATO ANDRADE,PP,37903,55
141527,RENATO MOLLING,PP,37903,55
160654,RENZO BRAZ,PP,37903,55
73788,RICARDO BARROS,PP,37903,55
195581,RICARDO BENTINHO,PRB,36815,55
160655,RICARDO IZAR,PP,37903,55
178920,RICARDO TEOBALDO,PODE,36896,55
141472,RICARDO TRIPOLI,PSDB,36835,55
152610,ROBERTO ALVES,PRB,36815,55
